pc_utc_iso,value
2026-04-14T15:10:09.3644608Z,10333
2026-04-14T15:10:09.3774885Z,10330
2026-04-14T15:10:09.3925758Z,10330
2026-04-14T15:10:09.4067049Z,10331
2026-04-14T15:10:09.4208637Z,10333
2026-04-14T15:10:09.4350201Z,10333
2026-04-14T15:10:09.4496930Z,10333
2026-04-14T15:10:09.4632723Z,10334
2026-04-14T15:10:09.4765052Z,10333
2026-04-14T15:10:09.4926256Z,10333
2026-04-14T15:10:09.5061500Z,10330
2026-04-14T15:10:09.5206547Z,10333
2026-04-14T15:10:09.5341972Z,10330
2026-04-14T15:10:09.5497078Z,10330
2026-04-14T15:10:09.5635102Z,10333
2026-04-14T15:10:09.5776461Z,10333
2026-04-14T15:10:09.5926879Z,10333
2026-04-14T15:10:09.6067039Z,10329
2026-04-14T15:10:09.6213411Z,10334
2026-04-14T15:10:09.6350033Z,10329
2026-04-14T15:10:09.6522110Z,10329
2026-04-14T15:10:09.6654729Z,10333
2026-04-14T15:10:09.6807443Z,10331
2026-04-14T15:10:09.6954882Z,10330
2026-04-14T15:10:09.7096469Z,10335
2026-04-14T15:10:09.7237459Z,10331
2026-04-14T15:10:09.7378679Z,10331
2026-04-14T15:10:09.7519041Z,10330
2026-04-14T15:10:09.7653952Z,10333
2026-04-14T15:10:09.7795227Z,10333
2026-04-14T15:10:09.7937435Z,10334
2026-04-14T15:10:09.8087738Z,10330
2026-04-14T15:10:09.8237893Z,10334
2026-04-14T15:10:09.8370710Z,10328
2026-04-14T15:10:09.8513126Z,10331
2026-04-14T15:10:09.8656115Z,10331
2026-04-14T15:10:09.8791229Z,10329
2026-04-14T15:10:09.8946757Z,10331
2026-04-14T15:10:09.9086808Z,10333
2026-04-14T15:10:09.9252470Z,10330
2026-04-14T15:10:09.9392587Z,10333
2026-04-14T15:10:09.9542791Z,10333
2026-04-14T15:10:09.9678386Z,10329
2026-04-14T15:10:09.9829732Z,10329
2026-04-14T15:10:09.9975960Z,10330
2026-04-14T15:10:10.0121720Z,10333
2026-04-14T15:10:10.0258945Z,10329
2026-04-14T15:10:10.0399030Z,10330
2026-04-14T15:10:10.0543407Z,10331
2026-04-14T15:10:10.0679413Z,10333
2026-04-14T15:10:10.0821113Z,10334
2026-04-14T15:10:10.0957026Z,10342
2026-04-14T15:10:10.1093501Z,10427
2026-04-14T15:10:10.1239022Z,10445
2026-04-14T15:10:10.1374629Z,10464
2026-04-14T15:10:10.1516547Z,10480
2026-04-14T15:10:10.1657495Z,10485
2026-04-14T15:10:10.1792616Z,10492
